level_1,level_2,level_3_diagnosis
Infectious,Bacterial infections,Impetigo
Infectious,Bacterial infections,Bacterial superinfection
Infectious,Bacterial infections,Bacterial folliculitis
Infectious,Bacterial infections,Furuncle
Infectious,Bacterial infections,Carbuncle
Infectious,Bacterial infections,Sycosis barbae
Infectious,Bacterial infections,Abscess
Infectious,Bacterial infections,Lymphangitis
Infectious,Bacterial infections,Bacterial paronychia
Infectious,Bacterial infections,Perianal streptococcal cellulitis
Infectious,Bacterial infections,Pitted keratolysis
Infectious,Bacterial infections,Erythrasma
Infectious,Bacterial infections,Ecthyma gangrenosum
Infectious,Bacterial infections,Pseudomonas nail infection
Infectious,Bacterial infections,Trichomycosis axillaris
Infectious,Bacterial infections,Staphylococcal scalded skin syndrome
Infectious,Bacterial infections,Scarlet fever
Infectious,Bacterial infections,Erysipelas
Infectious,Bacterial infections,Acute cellulitis
Infectious,Bacterial infections,Anthrax
Infectious,Bacterial infections,Erysipeloid
Infectious,Bacterial infections,Tuberculosis
Infectious,Bacterial infections,Atypical mycobacteria
Infectious,Bacterial infections,Buruli ulcer
Infectious,Bacterial infections,Nocardiosis
Infectious,Bacterial infections,Leprosy
Infectious,Bacterial infections,Erythema migrans
Infectious,Bacterial infections,Mediterranean spotted fever
Infectious,Bacterial infections,Other rickettsioses
Infectious,Bacterial infections,Gonococcal urethritis
Infectious,Bacterial infections,Syphilis
Infectious,Bacterial infections,Lymphogranuloma venereum
Infectious,Bacterial infections,Chancroid
Infectious,Bacterial infections,Granuloma inguinale
Infectious,Viral infections,Measles
Infectious,Viral infections,Chickenpox
Infectious,Viral infections,Rubella
Infectious,Viral infections,Erythema infectiosum
Infectious,Viral infections,Infectious mononucleosis
Infectious,Viral infections,Gianotti-Crosti syndrome
Infectious,Viral infections,Roseola infantum
Infectious,Viral infections,Hand-foot-mouth disease
Infectious,Viral infections,Unilateral laterothoracic exanthem
Infectious,Viral infections,Papular-purpuric gloves and socks syndrome
Infectious,Viral infections,Herpes simplex
Infectious,Viral infections,Oral-labial herpes simplex
Infectious,Viral infections,Genital herpes simplex
Infectious,Viral infections,Herpetic whitlow
Infectious,Viral infections,Herpes zoster
Infectious,Viral infections,Molluscum contagiosum
Infectious,Viral infections,Mpox
Infectious,Viral infections,Milker's nodule
Infectious,Viral infections,Orf
Infectious,Viral infections,Common wart
Infectious,Viral infections,Genital wart
Infectious,Viral infections,Oral mucosal wart
Infectious,Viral infections,Flat wart
Infectious,Viral infections,Plantar wart
Infectious,Viral infections,Epidermodysplasia verruciformis
Infectious,Fungal infections,Pityriasis versicolor
Infectious,Fungal infections,Malassezia folliculitis
Infectious,Fungal infections,Candidal intertrigo
Infectious,Fungal infections,Diaper candidiasis
Infectious,Fungal infections,Oral thrush
Infectious,Fungal infections,Candidal balanitis
Infectious,Fungal infections,Vaginal candidiasis
Infectious,Fungal infections,Candidal onychomycosis
Infectious,Fungal infections,Angular cheilitis
Infectious,Fungal infections,Tinea corporis
Infectious,Fungal infections,Tinea manuum
Infectious,Fungal infections,Tinea faciei
Infectious,Fungal infections,Tinea pedis
Infectious,Fungal infections,Tinea capitis
Infectious,Fungal infections,Tinea cruris
Infectious,Fungal infections,Majocchi granuloma
Infectious,Fungal infections,Tinea unguium
Infectious,Fungal infections,Tinea nigra
Infectious,Fungal infections,Sporotrichosis
Infectious,Fungal infections,Mycetoma
Infectious,Parasitic infections,Cutaneous leishmaniasis
Infectious,Parasitic infections,Larva currens
Infectious,Parasitic infections,Cutaneous larva migrans
Infectious,Infestations and bites,Scabies
Infectious,Infestations and bites,Pediculosis capitis
Infectious,Infestations and bites,Pediculosis pubis
Infectious,Infestations and bites,Pediculosis corporis
Infectious,Infestations and bites,Arthropod bite
Infectious,Infestations and bites,Spider bite
Infectious,Infestations and bites,Marine animal sting
Infectious,Infestations and bites,Tungiasis
Infectious,Infestations and bites,Myiasis
Infectious,Infestations and bites,Tick bite
Inflammatory,Eczema and dermatitis,Allergic contact dermatitis
Inflammatory,Eczema and dermatitis,Irritant contact dermatitis
Inflammatory,Eczema and dermatitis,Atopic dermatitis
Inflammatory,Eczema and dermatitis,Pityriasis alba
Inflammatory,Eczema and dermatitis,Keratosis pilaris
Inflammatory,Eczema and dermatitis,Nummular eczema
Inflammatory,Eczema and dermatitis,Lichen simplex chronicus
Inflammatory,Eczema and dermatitis,Asteatotic eczema
Inflammatory,Eczema and dermatitis,Notalgia paresthetica
Inflammatory,Eczema and dermatitis,Prurigo nodularis
Inflammatory,Eczema and dermatitis,Dyshidrotic eczema
Inflammatory,Eczema and dermatitis,Id reaction
Inflammatory,Eczema and dermatitis,Pruritic papular eruption of pregnancy
Inflammatory,Psoriasis,Plaque psoriasis
Inflammatory,Psoriasis,Localized pustular psoriasis
Inflammatory,Psoriasis,Generalized pustular psoriasis
Inflammatory,Psoriasis,Palmoplantar psoriasis
Inflammatory,Psoriasis,Guttate psoriasis
Inflammatory,Psoriasis,Inverse psoriasis
Inflammatory,Psoriasis,Nail psoriasis
Inflammatory,Psoriasis,Scalp psoriasis
Inflammatory,Psoriasis,Psoriatic erythroderma
Inflammatory,Other inflammatory dermatoses,Aphthae
Inflammatory,Other inflammatory dermatoses,Geographic tongue
Inflammatory,Other inflammatory dermatoses,Seborrheic dermatitis
Inflammatory,Other inflammatory dermatoses,Lichen planus
Inflammatory,Other inflammatory dermatoses,Lichen striatus
Inflammatory,Other inflammatory dermatoses,Lichen nitidus
Inflammatory,Other inflammatory dermatoses,Pityriasis rubra pilaris
