table,row,model,metric,published,boot_mean,ci_lo,ci_hi,N,auroc_conv,flag,note
tab:lp-panderm,HAM10000,PanDerm Base,Acc,0.853,0.8534439935064935,0.8400974025974026,0.8668831168831169,1232,,OK,
tab:lp-panderm,HAM10000,PanDerm Base,BAcc,0.381,0.3811171151750034,0.3438744344576154,0.420000767179287,1232,,OK,
tab:lp-panderm,HAM10000,PanDerm Base,AUROC,0.892,0.8924776163002832,0.8541645949970262,0.9247692574257821,1232,ovo_macro,OK,
tab:lp-panderm,HAM10000,PanDerm Base,WF1,0.829,0.8290134643284613,0.8131804290700254,0.844605401426553,1232,,OK,
tab:lp-panderm,HAM10000,PanDerm Large,Acc,0.888,0.8879131493506492,0.8741680194805195,0.9018060064935065,1232,,OK,
tab:lp-panderm,HAM10000,PanDerm Large,BAcc,0.575,0.5752899146386294,0.5047022285847352,0.6486151847206375,1232,,OK,
tab:lp-panderm,HAM10000,PanDerm Large,AUROC,0.954,0.9543540318724658,0.9421332794532123,0.9650369022340047,1232,ovo_macro,OK,
tab:lp-panderm,HAM10000,PanDerm Large,WF1,0.88,0.8792587057331066,0.8625064558524348,0.8955066187668449,1232,,OK,
tab:lp-panderm,BCN20000,PanDerm Base,Acc,0.659,0.6590789049919485,0.6384661835748792,0.679549114331723,1242,,OK,
tab:lp-panderm,BCN20000,PanDerm Base,BAcc,0.292,0.291995908263339,0.2768131839001607,0.3080223999245842,1242,,OK,
tab:lp-panderm,BCN20000,PanDerm Base,AUROC,0.855,0.8550177856661751,0.838325566924597,0.87194304142468,1242,ovo_macro,OK,
tab:lp-panderm,BCN20000,PanDerm Base,WF1,0.615,0.6146004887858955,0.5926274818113293,0.6363815347795667,1242,,OK,
tab:lp-panderm,BCN20000,PanDerm Large,Acc,0.702,0.7021658615136875,0.6803341384863124,0.7238526570048309,1242,,OK,
tab:lp-panderm,BCN20000,PanDerm Large,BAcc,0.382,0.38216419016970404,0.3490539287681684,0.42038541905637006,1242,,OK,
tab:lp-panderm,BCN20000,PanDerm Large,AUROC,0.903,0.9031777434759333,0.8901506077791649,0.9155699913975097,1242,ovo_macro,OK,
tab:lp-panderm,BCN20000,PanDerm Large,WF1,0.676,0.6757785260371534,0.6521708172816311,0.6983426212628846,1242,,OK,
tab:lp-panderm,PAD-UFES-20,PanDerm Base,Acc,0.725,0.7238026030368763,0.6898047722342733,0.7592190889370932,461,,OK,
tab:lp-panderm,PAD-UFES-20,PanDerm Base,BAcc,0.51,0.509834864457663,0.4613647181671765,0.5688916566361081,461,,OK,
tab:lp-panderm,PAD-UFES-20,PanDerm Base,AUROC,0.913,0.9119414027690653,0.8935275350213949,0.9310015941479828,461,ovo_macro,OK,
tab:lp-panderm,PAD-UFES-20,PanDerm Base,WF1,0.692,0.6904085550747686,0.6568582223750928,0.7250402919290863,461,,OK,
tab:lp-panderm,PAD-UFES-20,PanDerm Large,Acc,0.772,0.7710607375271149,0.735357917570499,0.8047722342733189,461,,OK,
tab:lp-panderm,PAD-UFES-20,PanDerm Large,BAcc,0.642,0.640169838019542,0.5715618201580477,0.7088050256896554,461,,OK,
tab:lp-panderm,PAD-UFES-20,PanDerm Large,AUROC,0.949,0.9488424078008848,0.9353135768627253,0.9615267016623766,461,ovo_macro,OK,
tab:lp-panderm,PAD-UFES-20,PanDerm Large,WF1,0.76,0.7578639613337553,0.7209573033881748,0.7933655250970661,461,,OK,
tab:lp-panderm,Dermnet,PanDerm Base,Acc,0.45,0.44943028485757125,0.43553223388305845,0.46401799100449775,4002,,OK,
tab:lp-panderm,Dermnet,PanDerm Base,BAcc,0.381,0.3813945579245926,0.36666777337380696,0.3972224123139487,4002,,OK,
tab:lp-panderm,Dermnet,PanDerm Base,AUROC,0.888,0.8881407081804815,0.8824212299383715,0.8942054122675466,4002,ovo_macro,OK,
tab:lp-panderm,Dermnet,PanDerm Base,WF1,0.432,0.43177175727979134,0.4179648725993593,0.44642658875333857,4002,,OK,
tab:lp-panderm,Dermnet,PanDerm Large,Acc,0.55,0.5498255872063967,0.5352323838080959,0.5632183908045977,4002,,OK,
tab:lp-panderm,Dermnet,PanDerm Large,BAcc,0.495,0.49524537670145524,0.4788038215777727,0.51252816530043,4002,,OK,
tab:lp-panderm,Dermnet,PanDerm Large,AUROC,0.931,0.9313229815623688,0.9269378591266562,0.9359436039322391,4002,ovo_macro,OK,
tab:lp-panderm,Dermnet,PanDerm Large,WF1,0.54,0.5395100018973253,0.5248834317733477,0.5534129214314222,4002,,OK,
tab:lp-panderm,WSI patches,PanDerm Base,Acc,0.781,0.7814278776104906,0.775293427230047,0.7876801036101667,12354,,OK,
tab:lp-panderm,WSI patches,PanDerm Base,BAcc,0.64,0.6397777861634102,0.6313540068133859,0.6485050112617555,12354,,OK,
tab:lp-panderm,WSI patches,PanDerm Base,AUROC,0.976,0.9756981643597662,0.9738963260433054,0.9774112093227021,12354,ovo_macro,OK,
tab:lp-panderm,WSI patches,PanDerm Base,WF1,0.774,0.7735683425443165,0.7671819513035918,0.7800800006481733,12354,,OK,
tab:lp-panderm,WSI patches,PanDerm Large,Acc,0.868,0.8684915816739517,0.8625526145378015,0.8742917273757488,12354,,OK,
tab:lp-panderm,WSI patches,PanDerm Large,BAcc,0.792,0.7924517429953158,0.7743813855020596,0.8169627762760013,12354,,OK,
